Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Daniel Bentley,53,engENG,GK,Wolves,31-300,1993,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Daniel Jebbison,256,engENG,FW,Bournemouth,21-269,2003,0.9,0,2,1,50.0,2.25,1.13,0.00,0.00,12.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Daniel Muñoz,365,coCOL,DF,Crystal Palace,28-348,1996,32.9,4,33,13,39.4,1.00,0.40,0.12,0.31,12.3,0,0,0,4.7,4.7,0.14,-0.7,-0.7,Matches
Daniel Podence,414,ptPOR,"MF,FW",Wolves,29-200,1995,0.5,0,1,0,0.0,1.87,0.00,0.00,N/a,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,24-010,2001,3.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Danny Ings,247,engENG,"FW,MF",West Ham,32-290,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.20,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,Matches
Danny Ward,538,wlsWAL,GK,Leicester City,31-321,1993,1.5,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Danny Welbeck,544,engENG,FW,Brighton,34-164,1990,21.6,9,53,20,37.7,2.46,0.93,0.17,0.45,15.2,8,0,0,8.1,8.1,0.15,+0.9,+0.9,Matches
Dara O'Shea,386,ieIRL,DF,Ipswich Town,26-066,1999,31.7,0,20,2,10.0,0.63,0.06,0.00,0.00,13.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Darwin Núñez,381,uyURU,FW,Liverpool,25-319,1999,11.7,5,33,12,36.4,2.83,1.03,0.15,0.42,14.3,0,0,0,5.3,5.3,0.16,-0.3,-0.3,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-305,1997,9.2,2,22,10,45.5,2.38,1.08,0.09,0.20,16.8,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
David Raya,424,esESP,GK,Arsenal,29-236,1995,35.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Dean Henderson,233,engENG,GK,Crystal Palace,28-058,1997,35.0,0,1,0,0.0,0.03,0.00,0.00,N/a,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Dean Huijsen,243,esESP,DF,Bournemouth,20-025,2005,24.8,3,18,3,16.7,0.73,0.12,0.17,1.00,11.9,0,0,0,1.9,1.9,0.10,+1.1,+1.1,Matches
Declan Rice,430,engENG,MF,Arsenal,26-115,1999,29.4,3,44,11,25.0,1.50,0.37,0.07,0.27,19.3,2,0,0,3.3,3.3,0.07,-0.3,-0.3,Matches
Dejan Kulusevski,292,seSWE,"MF,FW",Tottenham,25-014,2000,26.3,7,46,17,37.0,1.75,0.65,0.15,0.41,14.8,0,0,0,4.2,4.2,0.09,+2.8,+2.8,Matches
Destiny Udogie,521,itITA,DF,Tottenham,22-162,2002,20.4,0,5,1,20.0,0.25,0.05,0.00,0.00,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Diego Carlos,84,brBRA,DF,Aston Villa,32-055,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Diego Gómez,205,pyPAR,MF,Brighton,22-043,2003,4.9,0,6,0,0.0,1.22,0.00,0.00,N/a,19.4,2,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
